popularity,duration_ms,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
48,326360,2010-03-15,0.702,0.848,4,-5.382,0,0.0301,0.0296,1.45e-06,0.142,0.464,127.998
23,168848,2016-12-15,0.639,0.56,4,-7.109,0,0.0261,0.544,2.03e-06,0.17,0.326,110.065
47,217067,2014-07-01,0.522,0.789,0,-4.163,1,0.0335,0.0892,0.0,0.111,0.342,101.023
0,251951,2015-12-16,0.382,0.0555,11,-20.25,0,0.0415,0.894,0.35,0.115,0.0703,154.423
28,457640,2019-12-13,0.344,0.392,2,-10.607,1,0.028,0.121,2.83e-05,0.921,0.158,75.988
67,225200,2016-11-18,0.709,0.778,7,-3.533,0,0.046,0.0782,8.3e-06,0.306,0.7,102.022
11,208467,2014-11-10,0.508,0.224,2,-13.529,1,0.0301,0.6,7.35e-05,0.0732,0.459,73.853
55,196900,2015-06-23,0.582,0.564,0,-4.066,0,0.0837,0.0959,0.0,0.26,0.718,204.002
46,206600,2014-02-14,0.76,0.183,7,-16.995,1,0.0435,0.771,0.000182,0.121,0.377,140.027
48,226813,2013,0.687,0.683,9,-7.134,0,0.0386,0.0751,0.0225,0.0977,0.479,124.015
6,152000,2018-12-28,0.775,0.915,1,-3.062,0,0.0448,0.0462,0.0,0.274,0.565,120.017
47,177935,2017-10-13,0.621,0.71,8,-5.972,1,0.0442,0.00648,4.95e-06,0.133,0.291,94.031
63,191226,2019-04-05,0.765,0.787,1,-3.647,0,0.0445,0.0156,0.0,0.0736,0.381,124.949
67,229573,2012-03-12,0.62,0.869,1,-5.252,1,0.175,0.0181,0.0,0.369,0.76,151.684
41,189413,2016-01-29,0.469,0.746,0,-5.326,1,0.0304,0.00079,0.0119,0.118,0.0985,93.984
62,221820,2020-03-27,0.729,0.693,4,-4.47,0,0.0896,0.167,1.06e-06,0.331,0.49,112.975
47,221947,2011-10-26,0.564,0.939,0,-4.278,1,0.0478,0.0442,0.0,0.112,0.613,116.025
71,146500,2020-08-28,0.757,0.834,4,-4.362,0,0.0456,0.00434,0.000334,0.217,0.295,121.072
40,219130,2017-07-28,0.828,0.597,11,-10.913,1,0.225,0.0506,0.00322,0.211,0.648,138.037
57,238427,2012-01-01,0.534,0.842,2,-7.031,0,0.0925,0.0904,0.0388,0.203,0.441,138.004
74,202093,2019-03-08,0.658,0.671,2,-12.21,1,0.0363,0.0933,0.000927,0.115,0.166,100.966
52,191333,2012-04-03,0.542,0.963,2,-1.994,0,0.141,0.00127,0.00134,0.253,0.374,124.992
6,131580,2017-01-23,0.709,0.218,0,-15.266,1,0.152,0.879,0.451,0.0933,0.811,66.341
80,180953,2019-03-29,0.678,0.533,4,-10.485,1,0.186,0.462,0.219,0.139,0.323,150.455
82,239000,2017-09-07,0.258,0.437,11,-6.593,0,0.039,0.101,1.27e-06,0.106,0.0967,180.043
49,294297,2018-02-23,0.577,0.408,2,-8.554,1,0.0433,0.839,2.97e-05,0.264,0.393,80.087
64,331827,2015-01-13,0.706,0.483,1,-7.929,1,0.0393,0.547,1.94e-06,0.136,0.663,92.002
40,141265,2014-05-16,0.668,0.186,4,-14.909,1,0.0497,0.981,0.000148,0.107,0.48,153.345
