popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
82,180387,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558
82,205427,0.831,0.502,10,-4.045,0,0.046,0.101,0.0,0.122,0.101,100.541
82,209320,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073
81,205920,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993
81,224000,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006
81,199506,0.675,0.761,4,-4.469,0,0.0466,0.432,0.0,0.102,0.428,119.001
81,234347,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959
81,175755,0.665,0.651,1,-5.515,1,0.156,0.0414,0.0,0.0896,0.237,163.935
81,168906,0.945,0.582,11,-8.357,0,0.0719,0.114,0.0,0.103,0.907,108.025
81,181436,0.79,0.694,9,-7.726,0,0.0708,0.145,0.00252,0.281,0.508,103.007
81,149190,0.619,0.241,11,-7.102,0,0.046,0.9,0.0,0.116,0.0719,79.461
81,186700,0.698,0.719,0,-4.923,0,0.0455,0.00829,4.01e-06,0.326,0.364,120.062
81,144860,0.721,0.632,5,-6.695,0,0.0358,0.0693,0.0,0.291,0.296,92.057
81,169999,0.736,0.67,10,-6.702,1,0.311,0.186,0.0,0.114,0.845,130.032
81,205493,0.657,0.88,10,-3.672,0,0.102,0.121,0.0,0.463,0.769,150.084
81,219080,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126
81,174960,0.619,0.589,1,-6.531,1,0.124,0.43,0.000392,0.378,0.158,143.896
81,144349,0.808,0.639,1,-7.266,0,0.279,0.0802,0.0,0.15,0.395,118.0
81,198267,0.537,0.746,10,-5.507,0,0.15,0.0236,1.01e-06,0.156,0.252,170.062
81,232048,0.88,0.575,6,-6.091,1,0.163,0.415,0.0,0.109,0.671,120.031
81,147800,0.728,0.431,6,-9.966,0,0.0622,0.749,0.0,0.0996,0.629,130.022
81,232187,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924
81,221440,0.75,0.56,8,-8.094,1,0.105,0.546,0.0,0.111,0.459,140.06
81,203267,0.901,0.464,5,-9.789,0,0.0645,0.368,1.71e-05,0.238,0.638,109.004
81,202533,0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786
81,197867,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977
81,201084,0.572,0.406,10,-8.624,1,0.0427,0.587,4.48e-06,0.102,0.265,119.812
81,205687,0.688,0.53,11,-5.507,1,0.0333,0.443,0.0,0.0995,0.162,106.958
81,174853,0.548,0.653,5,-3.875,1,0.081,0.456,0.0,0.103,0.163,150.068
81,170746,0.724,0.491,8,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046
81,162453,0.857,0.427,8,-8.638,1,0.112,0.281,0.0,0.108,0.366,130.033
81,169397,0.628,0.744,7,-4.718,1,0.0379,0.0257,0.0,0.313,0.277,119.921
81,197732,0.629,0.327,11,-8.285,1,0.029,0.761,2.96e-05,0.103,0.381,74.953
81,221714,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994
81,171360,0.771,0.671,2,-5.617,1,0.0553,0.00929,0.0,0.0637,0.714,85.026
81,219801,0.52,0.903,2,-5.497,1,0.042,0.00517,0.0,0.254,0.652,74.988
81,278180,0.658,0.294,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,74.038
81,197993,0.724,0.804,11,-4.614,0,0.0448,0.124,0.0,0.204,0.306,124.987
81,231547,0.534,0.583,2,-8.672,1,0.0288,0.0262,0.0,0.421,0.145,105.997
81,285634,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602
81,205040,0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015
81,186878,0.682,0.7,6,-5.591,1,0.0397,0.406,0.0,0.174,0.637,120.03
81,182121,0.616,0.576,11,-5.495,0,0.0532,0.0723,0.0,0.375,0.269,89.962
81,203000,0.646,0.741,5,-4.973,0,0.034,0.0275,0.0,0.312,0.571,123.077
81,260776,0.678,0.355,10,-7.757,0,0.0627,0.759,7.06e-05,0.114,0.438,119.772
81,231827,0.76,0.703,5,-5.412,1,0.054,0.103,0.0,0.0913,0.57,95.997
81,201240,0.672,0.655,10,-5.021,0,0.0311,0.0362,0.0,0.117,0.556,134.945
81,178520,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0
