popularity,duration_ms,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,190268,2020-11-16,0.664,0.285,9,-7.907,1,0.0341,0.86,0.0,0.0952,0.256,124.13
0,166705,2020-11-27,0.483,0.169,3,-12.657,1,0.042,0.942,0.0,0.118,0.453,103.854
0,202693,2020-11-27,0.517,0.609,7,-5.702,1,0.0291,0.0631,0.0,0.106,0.239,92.093
0,151200,2020-10-23,0.223,0.741,2,-4.867,1,0.045,0.873,1.61e-06,0.088,0.624,201.504
0,205253,2013-03-22,0.541,0.965,1,-6.091,1,0.0361,0.00153,0.000831,0.0848,0.735,155.994
0,172500,2018-09-28,0.486,0.85,3,-7.009,1,0.0972,0.000165,0.0309,0.288,0.115,127.888
0,182460,2018-09-28,0.616,0.911,0,-3.718,1,0.102,0.117,0.0038,0.0569,0.603,125.114
0,201467,2021-03-01,0.69,0.529,9,-8.408,1,0.0319,0.4,0.0,0.109,0.833,123.082
0,260413,2021-04-13,0.586,0.835,11,-5.117,1,0.146,0.00387,0.0,0.304,0.492,123.936
0,260413,2021-04-13,0.586,0.835,11,-5.117,1,0.146,0.00387,0.0,0.304,0.492,123.936
0,244055,2021-04-13,0.813,0.74,1,-4.668,0,0.0327,0.0318,1.43e-05,0.166,0.699,118.976
0,190800,2021-04-13,0.69,0.809,2,-4.198,1,0.0603,0.524,0.0,0.147,0.864,123.912
0,214533,2021-04-13,0.666,0.615,10,-4.995,1,0.0314,0.0663,0.0,0.111,0.161,113.978
0,238533,2021-04-13,0.346,0.43,11,-8.095,0,0.0328,0.198,7.61e-06,0.0983,0.172,114.516
0,205347,2021-04-13,0.651,0.695,6,-3.218,1,0.0487,0.23,0.0,0.144,0.569,123.008
0,205347,2021-04-13,0.651,0.695,6,-3.218,1,0.0487,0.23,0.0,0.144,0.569,123.008
0,201600,2021-04-13,0.705,0.729,7,-3.601,1,0.0847,0.122,0.0,0.185,0.849,121.019
0,201600,2021-04-13,0.705,0.729,7,-3.601,1,0.0847,0.122,0.0,0.185,0.849,121.019
0,221293,2021-04-13,0.571,0.581,7,-3.325,1,0.0276,0.148,0.0,0.128,0.188,103.829
0,210840,2021-04-13,0.502,0.785,8,-4.803,1,0.104,0.0754,0.0,0.239,0.492,174.024
0,159863,2021-04-13,0.743,0.837,1,-5.025,0,0.0649,0.0172,0.0,0.0743,0.263,103.072
0,214853,2021-04-13,0.571,0.806,9,-4.985,0,0.131,0.0107,0.0,0.0864,0.363,135.904
0,202733,2021-04-13,0.66,0.701,10,-4.649,0,0.0405,0.00112,0.00016,0.0871,0.436,96.002
0,202733,2021-04-13,0.66,0.701,10,-4.649,0,0.0405,0.00112,0.00016,0.0871,0.436,96.002
